Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Estimated_Sales
245,Fable III,fable-iii,Role-Playing,X360,Microsoft Game Studios,Lionhead Studios,2010.0,5.1
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,DS,Sega,Sega,2008.0,5.1
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,2006.0,5.08
248,FIFA Soccer 11,fifa-soccer-11,Sports,PS3,EA Sports,EA Canada,2010.0,5.08
249,Super Mario Bros. Deluxe,super-mario-bros-deluxe,Platform,GB,Nintendo,Nintendo EAD,1999.0,5.07
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,PS4,Square Enix,Square Enix,2016.0,5.07
251,Fallout 4,fallout-4,Role-Playing,XOne,Bethesda Softworks,Bethesda Game Studios,2015.0,5.03
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,PS,Activision,Neversoft Entertainment,1999.0,5.02
253,Warzone 2100,warzone-2100,Strategy,PS,Eidos Interactive,Pumpkin Studios,1999.0,5.01
254,Spyro the Dragon,spyro-the-dragon,Platform,PS,Sony Computer Entertainment,Insomniac Games,1998.0,5.0
255,Cities: Skylines,cities-skylines,Simulation,PC,Paradox Interactive,Colossal Order,2015.0,5.0
256,Gears of War,gears-of-war,Shooter,X360,Microsoft Game Studios,Epic Games,2006.0,5.0
257,Gears of War 2,gears-of-war-2,Shooter,X360,Microsoft Game Studios,Epic Games,2008.0,5.0
258,Guild Wars 2,guild-wars-2,Role-Playing,PC,NCSoft,ArenaNet,2012.0,5.0
259,Halo 5: Guardians,halo-5-guardians,Shooter,XOne,Microsoft Studios,343 Industries,2015.0,5.0
260,Halo: Combat Evolved,halo-combat-evolved,Shooter,XB,Microsoft,Bungie Studios,2001.0,5.0
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,PS2,RedOctane,BudCat Creations,2007.0,4.98
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,PS3,Sony Computer Entertainment,Naughty Dog,2007.0,4.97
263,Resident Evil 2,resident-evil-2,Action,PS,Capcom,Capcom,1998.0,4.96
264,Fallout 3,fallout-3,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2008.0,4.96
265,Splatoon,splatoon,Shooter,WiiU,Nintendo,Nintendo EAD,2015.0,4.94
266,Madden NFL 06,madden-nfl-06,Sports,PS2,EA Sports,EA Tiburon,2005.0,4.91
267,Stardew Valley,stardew-valley,Simulation,PC,Chucklefish,ConcernedApe,2016.0,4.91
268,Dragon Quest VIII: Journey of the Cursed King,dragon-quest-viii-journey-of-the-cursed-king,Role-Playing,PS2,Square Enix,Level 5 / Armor Project,2005.0,4.9
269,Monster Hunter Freedom 3,monster-hunter-freedom-3,Role-Playing,PSP,Capcom,Capcom,2010.0,4.9
270,Diddy Kong Racing,diddy-kong-racing,Racing,N64,Nintendo,Rare Ltd.,1997.0,4.88
271,Pokemon Mystery Dungeon: Explorers of Time / Darkness,pokmon-mystery-dungeon-explorers-of-time,Role-Playing,DS,Nintendo,ChunSoft,2008.0,4.88
272,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,XOne,Activision,Treyarch,2018.0,4.85
273,Dr. Mario,dr-mario,Puzzle,NES,Nintendo,Nintendo R&D1,1990.0,4.85
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,PS4,Activision,Vicarious Visions,2017.0,4.83
275,Assassin's Creed,assassins-creed,Action,PS3,Ubisoft,Ubisoft Montreal,2007.0,4.83
276,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,XOne,Activision,Infinity Ward,2016.0,4.79
277,Crash Team Racing,crash-team-racing,Racing,PS,Sony Computer Entertainment,Naughty Dog,1999.0,4.79
278,LEGO Star Wars: The Complete Saga,lego-star-wars-the-complete-saga,Action,DS,LucasArts,Traveller's Tales,2007.0,4.77
279,The Legend of Zelda: Phantom Hourglass,the-legend-of-zelda-phantom-hourglass,Adventure,DS,Nintendo,Nintendo EAD,2007.0,4.76
280,Batman: Arkham City,batman-arkham-city,Action,X360,Warner Bros. Interactive,Rocksteady Studios,2011.0,4.75
281,Driver 2,driver-2,Action,PS,Atari,Reflections Interactive,2000.0,4.73
282,The Simpsons: Hit & Run,the-simpsons-hit-amp-run,Racing,PS2,VU Games,Radical Entertainment,2003.0,4.7
283,World of Warcraft: Cataclysm,world-of-warcraft-cataclysm,MMO,PC,Blizzard Entertainment,Blizzard Entertainment,2010.0,4.7
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,PS,Activision,Neversoft Entertainment,2000.0,4.68
285,Monster Hunter: World,monster-hunter-world,Action,PS4,Capcom,Capcom,2018.0,4.67
286,Gran Turismo,gran-turismo,Racing,PSP,Sony Computer Entertainment,Polyphony Digital,2009.0,4.67
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,PS2,Electronic Arts,Stormfront Studios,2002.0,4.67
288,Tomb Raider,tomb-raider,Action,PS,Eidos Interactive,Core Design Ltd.,1996.0,4.63
289,God of War,god-of-war,Action,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,2005.0,4.62
290,The Legend of Zelda: A Link to the Past,the-legend-of-zelda-a-link-to-the-past,Adventure,SNES,Nintendo,Nintendo EAD,1992.0,4.61
291,Forza Motorsport 4,forza-motorsport-4,Racing,X360,Microsoft Studios,Turn 10 Studio,2011.0,4.6
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,Wii,RedOctane,Vicarious Visions,2007.0,4.6
293,"Pokemon: Let's Go, Pikachu!"," pikachu""",Role-Playing,NS,Nintendo,Game Freak,2018.0,4.57
294,BioShock Infinite,bioshock-infinite,Shooter,PC,2K Games,Irrational Games,2013.0,4.56
295,Mario & Luigi: Bowser's Inside Story,mario-amp-luigi-bowsers-inside-story,Role-Playing,DS,Nintendo,AlphaDream Corporation,2009.0,4.56
296,FIFA 15,fifa-15,Sports,PS3,EA Sports,EA Canada,2014.0,4.56
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,Wii,Sega,Sega,2009.0,4.54
298,Overwatch,overwatch,Shooter,PS4,Blizzard Entertainment,Blizzard Entertainment,2016.0,4.54
299,Madden NFL 2005,madden-nfl-2005,Sports,PS2,EA Sports,EA Tiburon,2004.0,4.53
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,X360,RedOctane,Neversoft,2007.0,4.53
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,PS4,Electronic Arts,EA DICE,2017.0,4.53
302,Dead Island,dead-island,Action,PC,Deep Silver,Techland,2011.0,4.52
303,Arma 2: Operation Arrowhead,arma-2-operation-arrowhead,Shooter,PC,,Bohemia Interactive,2011.0,4.51
304,ARK: Survival Evolved,ark-survival-evolved,Action-Adventure,PC,Studio Wildcard,Studio Wildcard,2015.0,4.5
305,Riven: The Sequel to Myst,riven-the-sequel-to-myst,Adventure,PC,Red Orb,Cyan Worlds,1997.0,4.5
306,StarCraft II: Wings of Liberty,starcraft-ii-wings-of-liberty,Strategy,PC,Blizzard Entertainment,Blizzard Entertainment,2010.0,4.5
307,Warcraft III: Reign of Chaos,warcraft-iii-reign-of-chaos,Strategy,PC,Blizzard Entertainment,Blizzard Entertainment,2002.0,4.5
308,Pitfall!,pitfall,Platform,2600,Activision,Activision,1982.0,4.5
309,Professor Layton and the Curious Village,professor-layton-and-the-curious-village,Adventure,DS,Nintendo,Level 5,2008.0,4.49
310,Madden NFL 07,madden-nfl-07,Sports,PS2,EA Sports,EA Tiburon,2006.0,4.49
311,Spider-Man: The Movie,spider-man-the-movie,Action,PS2,Activision,Treyarch,2002.0,4.48
312,Nintendogs + cats,nintendogs-cats,Simulation,3DS,Nintendo,Nintendo EAD,2011.0,4.48
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,X360,Take-Two Interactive,Bethesda Softworks,2009.0,4.47
314,The Legend of Zelda: The Wind Waker,the-legend-of-zelda-the-wind-waker,Adventure,GC,Nintendo,Nintendo EAD,2003.0,4.43
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,PS2,Activision,Neversoft Entertainment,2001.0,4.41
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,2007.0,4.39
317,Zelda II: The Adventure of Link,zelda-ii-the-adventure-of-link,Adventure,NES,Nintendo,Nintendo EAD,1988.0,4.38
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,Wii,Ubisoft,Ubisoft Montpellier,2010.0,4.37
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,PS4,Ubisoft,Massive Entertainment,2016.0,4.37
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,PS2,Electronic Arts,EA Canada,2005.0,4.37
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,2006.0,4.37
322,Tom Clancy's Rainbow Six: Siege,tom-clancys-rainbow-six-siege,Shooter,PS4,Ubisoft,Ubisoft Montreal,2015.0,4.36
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,X360,Activision,High Moon Studios,2014.0,4.34
324,Watch Dogs,watch-dogs,Action-Adventure,PS4,Ubisoft,Ubisoft Montreal,2014.0,4.32
325,Animal Crossing: City Folk,animal-crossing-city-folk,Simulation,Wii,Nintendo,Nintendo EAD,2008.0,4.32
326,Starbound,starbound,Misc,PC,"Infocom, Inc.",,2014.0,4.31
327,Asteroids,asteroids,Shooter,2600,Atari,Atari,1981.0,4.31
328,Dragon Quest VII,dragon-quest-vii,Role-Playing,PS,Enix,Heart Beat,2001.0,4.3
329,Monster Hunter Generations,monster-hunter-generations,Action,3DS,Capcom,Capcom,2016.0,4.3
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,PS3,Eidos Interactive,Rocksteady Studios,2009.0,4.28
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,PS3,Activision,High Moon Studios,2014.0,4.27
332,God of War II,god-of-war-ii,Action,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,2007.0,4.24
333,Namco Museum,namco-museum,Misc,GBA,Namco,Mass Media,2001.0,4.24
334,Daxter,daxter,Platform,PSP,Sony Computer Entertainment,Ready at Dawn,2006.0,4.23
335,Super Paper Mario,super-paper-mario,Platform,Wii,Nintendo,Intelligent Systems,2007.0,4.23
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,PS3,Ubisoft,Ubisoft Montreal,2011.0,4.23
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,PS2,Konami,KCEJ / Kojima Productions,2004.0,4.23
338,Assassin's Creed: Revelations,assassins-creed-revelations,Action,X360,Ubisoft,Ubisoft Montreal,2011.0,4.22
339,FIFA Soccer 06,fifa-soccer-06,Sports,PS2,EA Sports,EA Canada,2005.0,4.21
340,Monster Hunter 4 Ultimate,monster-hunter-4-ultimate,Role-Playing,3DS,Capcom,Capcom,2015.0,4.2
341,Street Fighter IV,street-fighter-iv,Fighting,PS3,Capcom,Capcom / Dimps Corporation,2009.0,4.19
342,7 Days to Die,7-days-to-die,Action,PC,The Fun Pimps,The Fun Pimps,2013.0,4.18
343,FIFA Soccer 12,fifa-soccer-12,Sports,X360,EA Sports,EA Canada,2011.0,4.18
344,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,PS4,Activision,Infinity Ward,2013.0,4.17
345,Teenage Mutant Ninja Turtles,teenage-mutant-ninja-turtles,Platform,NES,Ultra Games,Konami,1989.0,4.17
346,Just Cause 2,just-cause-2,Action,PC,Eidos Interactive,Avalanche Studios,2010.0,4.16
347,Excitebike,excitebike,Racing,NES,Nintendo,Nintendo R&D1,1985.0,4.16
348,Frogger,frogger,Action,PS,Hasbro Interactive,Millenium Interactive,1997.0,4.16
349,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,XOne,Electronic Arts,EA DICE,2015.0,4.15
350,FIFA 14,fifa-14,Sports,X360,EA Sports,EA Canada,2013.0,4.15
351,Madden NFL 2003,madden-nfl-2003,Sports,PS2,EA Sports,EA Tiburon,2002.0,4.14
352,Assassin's Creed: Unity,assassins-creed-unity,Action,PS4,Ubisoft,Ubisoft Montreal,2014.0,4.14
353,Destiny 2,destiny-2,Shooter,PS4,Activision,Bungie,2017.0,4.14
354,Half-Life,half-life,Shooter,PC,Sierra Entertainment,Valve Software,1998.0,4.12
355,Super Mario World 2: Yoshi's Island,super-mario-world-2-yoshis-island,Platform,SNES,Nintendo,Nintendo EAD,1995.0,4.12
356,Batman: Arkham Knight,batman-arkham-knight,Action,PS4,Warner Bros. Interactive,Rocksteady Studios,2015.0,4.11
357,FIFA 07 Soccer,fifa-07-soccer,Sports,PS2,EA Sports,Team Fusion,2006.0,4.11
358,The Sims 4,the-sims-4,Simulation,PC,Electronic Arts,Maxis,2014.0,4.1
359,Monster Hunter 4,monster-hunter-4,Role-Playing,3DS,Capcom,Capcom,2013.0,4.1
360,Street Fighter II Turbo,street-fighter-ii-turbo,Fighting,SNES,Capcom,Capcom,1993.0,4.1
361,Fallout: New Vegas,fallout-new-vegas,Role-Playing,X360,Bethesda Softworks,Obsidian Entertainment,2010.0,4.08
362,Assassin's Creed Origins,assassins-creed-origins,Action,PS4,Ubisoft,Ubisoft Montreal,2017.0,4.06
363,Far Cry 4,far-cry-4,Shooter,PS4,Ubisoft,Ubisoft Montreal,2014.0,4.06
364,Carnival Games,carnival-games,Misc,Wii,Global Star Software,Cat Daddy Games,2007.0,4.06
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,2006.0,4.06
366,Forza Motorsport 2,forza-motorsport-2,Racing,X360,Microsoft Game Studios,Turn 10 Studios,2007.0,4.05
367,Namco Museum Vol.3,namco-museum-vol3,Misc,PS,Namco,Namco,1997.0,4.05
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,PS2,Namco,Namco,2000.0,4.05
369,Golf,golf,Sports,NES,Nintendo,Nintendo,1985.0,4.01
370,Diablo II,diablo-ii,Role-Playing,PC,Blizzard Entertainment,Blizzard North,2000.0,4.0
371,Disney's Aladdin,disneys-aladdin,Platform,GEN,Sega,Virgin Interactive,1993.0,4.0
372,EyeToy Play,eyetoy-play,Misc,PS2,Sony Computer Entertainment,SCEE London Studio,2003.0,4.0
373,Just Dance,just-dance,Misc,Wii,Ubisoft,Ubisoft Paris,2009.0,4.0
374,Star Fox 64,star-fox-64,Shooter,N64,Nintendo,Nintendo EAD,1997.0,4.0
375,Super Mario Maker,super-mario-maker,Platform,WiiU,Nintendo,Nintendo EAD,2015.0,4.0
376,World of Warcraft: Wrath of the Lich King,world-of-warcraft-wrath-of-the-lich-king,MMO,PC,Blizzard Entertainment,Blizzard Entertainment,2008.0,4.0
377,Fallout 3,fallout-3,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,2008.0,4.0
378,The Legend of Zelda: Oracle of Ages / Seasons,the-legend-of-zelda-oracle-of-ages,Adventure,GBC,Nintendo,Capcom,2001.0,3.99
379,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,PC,Bethesda Softworks,Bethesda Game Studios,2011.0,3.99
380,Namco Museum: 50th Anniversary,namco-museum-50th-anniversary,Misc,PS2,Namco,Digital Eclipse,2005.0,3.98
381,NBA 2K16,nba-2k16,Sports,PS4,2K Sports,Visual Concepts,2015.0,3.98
382,Left 4 Dead 2,left-4-dead-2,Shooter,X360,Electronic Arts,Certain Affinity / Valve Software,2009.0,3.97
383,Far Cry 5,far-cry-5,Action,PS4,Ubisoft,Ubisoft,2018.0,3.95
384,Battlefield 4,battlefield-4,Shooter,PS4,Electronic Arts,EA DICE,2013.0,3.94
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,2013.0,3.94
386,EA Sports Active,ea-sports-active,Sports,Wii,EA Sports,EA Vancouver,2009.0,3.93
387,Half-Life 2: Episode One,half-life-2-episode-one,Shooter,PC,Electronic Arts,Valve Software,2006.0,3.92
388,Donkey Kong Land,donkey-kong-land,Platform,GB,Nintendo,Rare Ltd.,1995.0,3.91
389,English Training: Have Fun Improving Your Skills!,english-training-have-fun-improving-your-skills,Misc,DS,Nintendo,Plato,2006.0,3.91
390,Dragon Quest III,dragon-quest-iii,Role-Playing,NES,Enix,ChunSoft,1992.0,3.9
391,Tony Hawk's Underground,tony-hawks-underground,Sports,PS2,Activision,Neversoft Entertainment,2003.0,3.9
392,Just Dance 2014,just-dance-2014,Music,Wii,Ubisoft,Ubisoft Paris,2013.0,3.89
393,Professor Layton and the Diabolical Box,professor-layton-and-the-diabolical-box,Adventure,DS,Nintendo,Level 5,2009.0,3.88
394,Sports Champions,sports-champions,Sports,PS3,Sony Computer Entertainment,SCE San Diego Studio,2010.0,3.88
395,MotorStorm,motorstorm,Racing,PS3,Sony Computer Entertainment,Evolution Studios,2007.0,3.87
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,2005.0,3.85
397,Namco Museum Vol.1,namco-museum-vol1,Misc,PS,Namco,Namco,1996.0,3.84
398,The Legend of Zelda: Link's Awakening,the-legend-of-zelda-links-awakening,Adventure,GB,Nintendo,Nintendo EAD,1993.0,3.83
399,Resident Evil VII: Biohazard,resident-evil-vii-biohazard,Action,PS4,Capcom,Capcom,2017.0,3.83
400,Monster Hunter Freedom Unite,monster-hunter-freedom-unite,Role-Playing,PSP,Capcom,Capcom Production Studio 1,2009.0,3.8
401,Gran Turismo Sport,gran-turismo-sport,Racing,PS4,Sony Interactive Entertainment,Polyphony Digital,2017.0,3.77
402,LEGO Indiana Jones: The Original Adventures,lego-indiana-jones-the-original-adventures,Adventure,X360,LucasArts,Traveller's Tales,2008.0,3.76
403,The Sims: Unleashed,the-sims-unleashed,Simulation,PC,Electronic Arts,Maxis,2002.0,3.76
404,Tomodachi Collection,tomodachi-collection,Misc,DS,Nintendo,Nintendo SPD Group No.1,2009.0,3.76
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,PSP,Sony Computer Entertainment,High Impact Games,2007.0,3.75
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,PS,Electronic Arts,Argonaut Games,2001.0,3.73
407,Pokemon Trading Card Game,pokemon-trading-card-game,Strategy,GB,Nintendo,Hudson Soft,2000.0,3.72
408,FIFA 17,fifa-17,Sports,XOne,Electronic Arts,EA Canada,2016.0,3.71
409,Spyro: Year of the Dragon,spyro-year-of-the-dragon,Platform,PS,Sony Computer Entertainment,Insomniac Games,2000.0,3.71
410,The Legend of Zelda: A Link Between Worlds,the-legend-of-zelda-a-link-between-worlds,Adventure,3DS,Nintendo,Nintendo EAD,2013.0,3.71
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,PS2,EA Sports,EA Canada,2004.0,3.7
412,Diablo III: Reaper of Souls,diablo-iii-reaper-of-souls,Action,PC,Blizzard Entertainment,Blizzard Entertainment,2014.0,3.7
413,The Legend of Zelda: Skyward Sword,the-legend-of-zelda-skyward-sword,Adventure,Wii,Nintendo,Nintendo EAD,2011.0,3.67
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,PS2,Activision,Neversoft Entertainment,2002.0,3.67
415,Midnight Club 3: DUB Edition,midnight-club-3-dub-edition,Racing,PSP,Rockstar Games,Rockstar Leeds,2005.0,3.66
416,MySims,mysims,Simulation,DS,Electronic Arts,EA Redwood Shores,2007.0,3.66
417,Banjo-Kazooie,banjo-kazooie,Platform,N64,Nintendo,Rare Ltd.,1998.0,3.65
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,PS2,Sony Computer Entertainment,Zipper Interactive,2002.0,3.65
419,Battlefield 4,battlefield-4,Shooter,PS3,Electronic Arts,EA DICE,2013.0,3.64
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,PS2,Sony Computer Entertainment,Naughty Dog,2001.0,3.64
421,Pokemon Snap,pokemon-snap,Simulation,N64,Nintendo,HAL Laboratory,1999.0,3.63
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,PS2,Konami,Konami,2008.0,3.63
423,FIFA Soccer 10,fifa-soccer-10,Sports,PS3,EA Sports,EA Canada,2009.0,3.63
424,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,Wii,Activision,Vicarious Visions,2008.0,3.62
425,Gears of War: Ultimate Edition,gears-of-war-ultimate-edition,Shooter,XOne,Microsoft Studios,The Coalition,2015.0,3.62
426,Star Wars Battlefront,star-wars-battlefront,Shooter,PS2,LucasArts,Pandemic Studios,2004.0,3.61
427,Doom II,doom-ii,Shooter,PC,GT Interactive,id Software,1994.0,3.61
428,The Simpsons: Road Rage,the-simpsons-road-rage,Racing,PS2,Electronic Arts,Radical Entertainment,2001.0,3.61
429,BattleBlock Theater,battleblock-theater,Platform,PC,The Behemoth,The Behemoth,2014.0,3.61
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,PS4,Ubisoft,Ubisoft Quebec,2015.0,3.6
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,PS2,LucasArts,Pandemic Studios,2005.0,3.59
432,Assassin's Creed: Unity,assassins-creed-unity,Action,XOne,Ubisoft,Ubisoft Montreal,2014.0,3.58
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,DS,Majesco,Office Create,2007.0,3.58
434,Undertale,undertale,Role-Playing,PC,Toby Fox,Toby Fox,2015.0,3.58
435,WWF SmackDown!,wwf-smackdown,Fighting,PS,THQ,Yuke's,2000.0,3.58
436,Croc: Legend of the Gobbos,croc-legend-of-the-gobbos,Platform,PS,Fox Interactive,Argonaut Games,1997.0,3.56
437,Battlefield 4,battlefield-4,Shooter,X360,Electronic Arts,EA DICE,2013.0,3.54
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,PS2,Rockstar Games,Rockstar Leeds,2006.0,3.54
439,The Getaway,the-getaway,Action,PS2,Sony Computer Entertainment,Team Soho,2003.0,3.54
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,PS,Eidos Interactive,Core Design Ltd.,1998.0,3.54
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,X360,Eidos Interactive,Rocksteady Studios,2009.0,3.54
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,X360,Ubisoft,Ubisoft Montreal,2010.0,3.53
443,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,Shooter,PS2,Electronic Arts,EA Redwood Shores,2001.0,3.53
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,PS2,Eidos Interactive,Traveller's Tales,2005.0,3.53
445,Resident Evil 5,resident-evil-5,Action,X360,Capcom,Capcom,2009.0,3.53
446,Rugrats in Paris: The Movie,rugrats-in-paris-the-movie,Action,PS,THQ,Avalanche Software,2000.0,3.52
447,NBA 2K17,nba-2k17,Sports,PS4,2K Sports,Visual Concepts,2016.0,3.52
448,FIFA Soccer 11,fifa-soccer-11,Sports,X360,EA Sports,EA Canada,2010.0,3.52
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,PS,Sony Computer Entertainment,Insomniac Games,1999.0,3.52
450,Left 4 Dead,left-4-dead,Shooter,X360,Valve Corporation,Certain Affinity / Valve Software,2008.0,3.52
451,Donkey Kong Country 3: Dixie Kong's Double Trouble!,donkey-kong-country-3-dixie-kongs-double-trouble,Platform,SNES,Nintendo,Rare Ltd.,1996.0,3.51
452,Fable II,fable-ii,Role-Playing,X360,Microsoft Game Studios,Lionhead Studios,2008.0,3.5
453,Kung Fu,kung-fu,Action,NES,Nintendo,Irem Software Engineering,1985.0,3.5
454,Resident Evil 3: Nemesis,resident-evil-3-nemesis,Action,PS,Capcom,Capcom,1999.0,3.5
455,World of Warcraft: The Burning Crusade,world-of-warcraft-the-burning-crusade,MMO,PC,Blizzard Entertainment,Blizzard Entertainment,2007.0,3.5
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,PS2,EA Sports,EA Canada,2003.0,3.49
457,Pokemon Mystery Dungeon: Blue Rescue Team,pokemon-mystery-dungeon-blue-rescue-team,Role-Playing,DS,Nintendo,ChunSoft,2006.0,3.49
458,Mortal Kombat X,mortal-kombat-x,Fighting,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,2015.0,3.49
